center,services,address,phone,hours,ratings,fees
A1 Optical,Audiology,"Clarke Street,Vieux Fort St Lucia",(758)714-6073,Monday-Friday8am-4pm,5 Stars,100-1000
A1 Optical,Contact Lenses,"Clarke Street,Vieux Fort St Lucia",(758)714-6071,Monday-Friday8am-4pm,5 Stars,184
A1 Optical,Dermatology,"Clarke Street,Vieux Fort St Lucia",(758)714-6072,Monday-Friday8am-4pm,5 Stars,185-1000
A1 Optical,Ophthalmology,"Clarke Street,Vieux Fort St Lucia",(758)714-6070,Monday-Friday8am-4pm,5 Stars,200
A1 Optical,Optilab,"Clarke Street,Vieux Fort St Lucia",(758)714-6075,Monday-Friday8am-4pm,5 Stars,150
A1 Optical,Optometry ,"Clarke Street,Vieux Fort St Lucia",(758)714-6069,Monday-Friday8am-4pm,5 Stars,120
A1 Optical,Pharmarcy,"Clarke Street,Vieux Fort St Lucia",(758)714-6074,Monday-Friday8am-4pm,5 Stars,"1000-3,500"
Bay Medical Center,Endocrinology,Tapion Street St Lucia,(758)459-2461,Monday-Friday8am-4pm,4.3 Stars,300
Bay Medical Center,Metobolism ,Tapion Street St Lucia,(758)459-2460,Monday-Friday8am-4pm,4.3 Stars,120
Castries Health Center,Weekly Checkups,"Chaussee Road, St Lucia",(758)452-4416,Monday-Friday8am-4pm,4.3 Stars,30
Courts Optical,Anti blu Glasses,"Beanfield,Vieux Fort St Lucia",(758)724-4411,Monday-Friday8am-5pm,4 Stars,200-300
Courts Optical,Eye Exams,"Beanfield,Vieux Fort St Lucia",(758)724-4409,Monday-Friday8am-5pm,4 Stars,100
Courts Optical,Eye Glasses,"Beanfield,Vieux Fort St Lucia",(758)724-4410,Monday-Friday8am-5pm,4 Stars,100
Courts Optical,Repairs,"Beanfield,Vieux Fort St Lucia",(758)724-4412,Monday-Friday8am-5pm,4 Stars,25.95
Creative Smiles Dental Clinic,Dental Care,"Church Street,Soufriere St Lucia",(758)7139601,Monday-Friday9am-5pm,5 Stars,140-450
Creative Smiles Dental Clinic,Tooth Extraction,"Church Street,Soufriere St Lucia",(758)7139600,Monday-Friday9am-5pm,5 Stars,65
Dennery Hospital,Dermatology,"Anse canot,Dennery",(758)453-3312,Monday-Friday6am-12pm,4.5 Stars,150
Dennery Hospital,General Surgery,"Anse canot,Dennery",(758)453-3311,Monday-Friday6am-12pm,4.5 Stars,Varies
Dennery Hospital,Internal medicine,"Anse canot,Dennery",(758)453-3310,Monday-Friday6am-12pm,4.5 Stars,30
Dennery Hospital,Pediatric,"Anse canot,Dennery",(758)453-3313,Monday-Friday6am-12pm,4.5 Stars,100-1000
Dentist Marshall,Dental Care,"La Retraite, St Lucia",(758)454-8095,Monday-Friday8am-5pm,5 Stars,140-450
Dentist Marshall,Tooth Extraction ,"La Retraite, St Lucia",(758)454-8094,Monday-Friday8am-5pm,5 Stars,90
Family Dental,Anti blu Glasses,"High St,Castries St Lucia",(758)452-3161,Monday-Friday8am-5pm,5 Stars,200-300
Family Dental,Eye Eams,"High St,Castries St Lucia",(758)452-3159,Monday-Friday8am-5pm,5 Stars,100
Family Dental,Dental Care,"High St,Castries St Lucia",(758)452-3160,Monday-Friday8am-5pm,5 Stars,100
Family Dental,Repairs,"High St,Castries St Lucia",(758)452-3162,Monday-Friday8am-5pm,5 Stars,25.95
Gros Islet Polyclinic,Diabetes Treatment," Gros Islet, St. Lucia ",(758)486-7632,Monday-Friday8am-12am,3.2 Stars,115 - 153
Gros Islet Polyclinic,Endocrinolog," Gros Islet, St. Lucia ",(758)486-7631,Monday-Friday8am-12am,3.2 Stars,100
Gros Islet Polyclinic,Metabolism ," Gros Islet, St. Lucia ",(758)486-7630,Monday-Friday8am-12am,3.2 Stars,100
Helen Diagnostic Centre,Color Doppler,"77 Brazil St,Castries,St Lucia",(758)451-8486,Monday-Friday9am-4pm,5 Stars,150-175
Helen Diagnostic Centre,Mammogram,"78 Brazil St,Castries,St Lucia",(758)451-8487,Monday-Friday9am-4pm,5 Stars,329-1859
Helen Diagnostic Centre,Ultrasounds,"76 Brazil St,Castries,St Lucia",(758)451-8485,Monday-Friday9am-4pm,5 Stars,350
Helen Diagnostic Centre,X-Ray,"75 Brazil St,Castries,St Lucia",(758)451-8484,Monday-Friday9am-4pm,5 Stars,140
Infinity Health + Care Pharmacy,Pharmacy,"Martha Commercial Building, La Tourney, St. Lucia",1 (758) 572-7844,Monday-Friday7:30am-5pm,5 Stars,10-200
Infinity Health + Care Pharmacy,prescription,"Martha Commercial Building, La Tourney, St. Lucia",2 (758) 572-7844,Monday-Friday7:30am-5pm,5 Stars,10-200
Island Pharmacy,Pharmacy,"Chausee Rd, Castries, St. Lucia",1 (758) 451-4939,Monday-Friday8:30am-5pm,No Stars,10-200
Island Pharmacy,prescription,"Chausee Rd, Castries, St. Lucia",2 (758) 451-4939,Monday-Friday8:30am-5pm,No Stars,10-200
Island Pharmacy / Microlab Inc.,Dental Care,"Babonneau, St. Lucia",2 (758) 451-4939,Monday-Friday9am-5pm,5 Stars,140-450
Island Pharmacy / Microlab Inc.,Tooth Extraction,"Babonneau, St. Lucia",1 (758) 451-4939,Monday-Friday9am-5pm,5 Stars,80
KnightMeds,Pharmacy,"Micoud Hwy, St. Lucia",1 (758) 572-6840,Monday-Friday8am-8pm,4.9 Stars,10-200
KnightMeds,prescription,"Micoud Hwy, St. Lucia",2 (758) 572-6840,Monday-Friday8am-8pm,4.9 Stars,10-200
M & C Drugstore,Pharmacy,"Vieux Fort, St. Lucia",1 (758) 458-8153,Monday-Friday8am-5pm,4.5 Stars,10-200
M & C Drugstore,prescription,"Vieux Fort, St. Lucia",2 (758) 458-8153,Monday-Friday8am-5pm,4.5 Stars,10-200
M&C Drugstore,Pharmacy,"Bridge St, Castries, St. Lucia",1 (758) 458-8147,Monday-Friday8am-5pm,3.7 Stars,10-200
M&C Drugstore,Prescription,"Bridge St, Castries, St. Lucia",2 (758) 458-8147,Monday-Friday8am-5pm,3.7 Stars,10-200
Marcellin's Pharmacy,Pharmacy,"Micoud St, Castries, St. Lucia",1 (758) 452-1473,Monday-Friday8:30am-5pm,4.5 Stars,10-200
Marcellin's Pharmacy,prescription,"Micoud St, Castries, St. Lucia",2 (758) 452-1473,Monday-Friday8:30am-5pm,4.5 Stars,10-200
Massy Stores Pharmacy,Pharmacy,"Rodney Bay, St. Lucia",1 (758) 457-2090,Monday-Friday9am-9pm,4 Stars,10-200
Massy Stores Pharmacy,prescription,"Rodney Bay, St. Lucia",2 (758) 457-2090,Monday-Friday9am-9pm,4 Stars,10-200
M-CARE Medical Clinic,Color Doppler,"Alfonia Plaza,Rodney Bay St Lucia",(758)453-2554,Monday-Friday8am-8pm,4.2 Stars,150-175
M-CARE Medical Clinic,Mammogram,"Alfonia Plaza,Rodney Bay St Lucia",(758)453-2555,Monday-Friday8am-8pm,4.2 Stars,329-1859
M-CARE Medical Clinic,UltraSounds,"Alfonia Plaza,Rodney Bay St Lucia",(758)453-2553,Monday-Friday8am-8pm,4.2 Stars,350
M-CARE Medical Clinic,X-Ray,"Alfonia Plaza,Rodney Bay St Lucia",(758)453-2552,Monday-Friday8am-8pm,4.2 Stars,130
Medical Imaging Inc,CT Scans,"La Retraite, Manoel St, St Lucia",(758)452-1696/(758)485-6680,Monday-Friday 8am-4pm,3.3 Stars,150-175
Medical Imaging Inc,MRI,"La Retraite, Manoel St, St Lucia",(758)452-1696/(758)485-6681,Monday-Friday 8am-4pm,3.3 Stars,300-6000
Medical Imaging Inc,Ultrasounds,"La Retraite, Manoel St, St Lucia",(758)452-1696/(758)485-6679,Monday-Friday 8am-4pm,3.3 Stars,350
Medical Imaging Inc,X-Ray,"La Retraite, Manoel St, St Lucia",(758)452-1696/(758)485-6678,Monday-Friday 8am-4pm,3.3 Stars,120
Medicine Chest Pharmacy,Pharmacy,"Cr Chaussee Road & Jeremie St, Castries, St. Lucia",1 (758) 451-6455,Monday-Friday8am-5pm,5 Stars,10-200
Medicine Chest Pharmacy,prescription,"Cr Chaussee Road & Jeremie St, Castries, St. Lucia",2 (758) 451-6455,Monday-Friday8am-5pm,5 Stars,10-200
OKEU Hospital,Dermatology,Millennium Highway Castries St Lucia,(758)458-6502,24hrs,3 Stars,120
OKEU Hospital,General Surgery,Millennium Highway Castries St Lucia,(758)458-6501,24hrs,3 Stars,Varies
OKEU Hospital,Internal medicine,Millennium Highway Castries St Lucia,(758)458-6500,24hrs,3 Stars,30
OKEU Hospital,Pediatric,Millennium Highway Castries St Lucia,(758)458-6503,24hrs,3 Stars,100-1000
People's Discount Pharmacy Ltd,Pharmacy,"St Louis St, Castries, St. Lucia",1 (758) 452-4281,Monday-Friday8am-5pm,5 Stars,10-200
People's Discount Pharmacy Ltd,prescription,"St Louis St, Castries, St. Lucia",2 (758) 452-4281,Monday-Friday8am-5pm,5 Stars,10-200
Rodney Bay Medical Centre,Digital X-Ray,Rodney Bay St Lucia,(758)453-6582,Monday-Friday 8am-5pm,4.2 Stars,120
Rodney Bay Medical Centre,Digital X-Ray,"Gros-Islet,Rodney Bay St lucia",(758)452-8622,Monday-Friday8am-5pm,4.2 Stars,150-175
Rodney Bay Medical Centre,Mammogram,"Gros-Islet,Rodney Bay St lucia",(758)452-8623,Monday-Friday8am-5pm,4.2 Stars,375
Rodney Bay Medical Centre,On-site Laboratory,Rodney Bay St Lucia,(758)453-6584,Monday-Friday 8am-5pm,4.2 Stars,150-175
Rodney Bay Medical Centre,On-site Laboratory,"Gros-Islet,Rodney Bay St lucia",(758)452-8624,Monday-Friday8am-5pm,4.2 Stars,200-300
Rodney Bay Medical Centre,Ultrasounds,Rodney Bay St Lucia,(758)453-6583,Monday-Friday 8am-5pm,4.2 Stars,375
Rodney Bay Medical Centre,UltraSounds,"Gros-Islet,Rodney Bay St lucia",(758)452-8621,Monday-Friday8am-5pm,4.2 Stars,125
Saltibus Health Centre,Weekly Checkups,Saltibus Road St Lucia,(758)455-1589,Monday-Friday8am-4:30pm,4 Stars,30
Soufriere Hospital,Internal medicine,"Wquinlan St,St Lucia",(758)459-7258,24hrs,No Stars,25
Soufriere Hospital,Pediatric,"Wquinlan St,St Lucia",(758)459-7259,24hrs,No Stars,25
St Anthony Medical Center,Blood Testing,"Clarke Street, Vieux-Fort, St Lucia/Laborie St,Castries St Lucia",Vieux-Fort(758)454-4040/Castries(758)452-2046,Monday-Friday8am-4:30pm,4.6/5 Stars,100-250
St Anthony Medical Center,Cancer Treatment,"Clarke Street, Vieux-Fort, St Lucia/Laborie St,Castries St Lucia",Vieux-Fort(758)454-4040/Castries(758)452-2042,Monday-Friday8am-4:30pm,4.6/5 Stars,4350
St Anthony Medical Center,Colonoscopy ,"Clarke Street, Vieux-Fort, St Lucia/Laborie St,Castries St Lucia",Vieux-Fort(758)454-4040/Castries(758)452-2040,Monday-Friday8am-4:30pm,4.6/5 Stars,750
